Success_X_Coordinate,Success_Y_Coordinate,Success_Compression,times
9.758746,10.42694,0.2590853,26.66667
8.912509,10.33234,0.2560427,26.66667
10.84123,10.50077,0.2722908,33.33334
5.543867,9.551727,0.2580598,33.33334
6.902149,9.958989,0.2729301,26.66667
7.655683,10.13756,0.2621959,33.33334
7.723953,10.16017,0.2617831,20
7.733449,10.16069,0.2634445,20
6.901301,9.960987,0.2642691,26.66667
8.88108,10.3276,0.2575071,26.66667
7.861702,10.17823,0.2673832,33.33334
7.772275,10.1571,0.2549491,20
5.996309,9.698122,0.2510098,20
7.882703,10.18136,0.2530139,33.33334
6.662189,9.912141,0.2587124,26.66667
6.347475,9.818198,0.2732702,20
7.661843,10.14895,0.2506703,33.33334
8.549273,10.29433,0.2638787,26.66667
5.667026,9.576426,0.2799558,26.66667
5.722964,9.591733,0.3222066,33.33334
7.667428,10.13724,0.2672513,26.66667
6.360415,9.849117,0.2528218,20
7.677018,10.13891,0.2640864,26.66667
7.88909,10.17751,0.2524086,26.66667
6.453255,9.855397,0.2686991,20
